2023-11-17 15:37:08.836 WARN  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Cannot deserialize session attribute [SPRING_SECURITY_CONTEXT] for session [82FD187611D6DE87C8D3BC1F2F71B2BB]
2023-11-17 15:37:09.204 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7f57d58, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@60db76cb, org.springframework.security.web.context.SecurityContextPersistenceFilter@4fabcd17, org.springframework.security.web.header.HeaderWriterFilter@bb72738, org.springframework.security.web.authentication.logout.LogoutFilter@1f1cced8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5ee22d30, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7c827d0b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c0dfcf0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5663d759, org.springframework.security.web.session.SessionManagementFilter@29d99024, org.springframework.security.web.access.ExceptionTranslationFilter@241c2777, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@56768e81]
2023-11-17 15:37:09.343 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-17 15:37:09.356 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8088"]
2023-11-17 15:37:09.370 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8088 (http) with context path ''
2023-11-17 15:37:09.371 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - Starting...
2023-11-17 15:37:09.371 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@73b9c9eb]]
2023-11-17 15:37:09.371 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - Started.
2023-11-17 15:37:09.377 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - Started Team35Application in 1.641 seconds (JVM running for 2.028)
2023-11-17 15:37:13.381 INFO  [http-nio-8088-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-17 15:37:13.381 INFO  [http-nio-8088-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-17 15:37:13.381 INFO  [http-nio-8088-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-17 15:37:22.221 INFO  [http-nio-8088-exec-5] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-17 15:37:22.304 INFO  [http-nio-8088-exec-5] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-17 15:38:09.252 INFO  [MessageBroker-4] [o.s.w.s.c.WebSocketMessageBrokerStats] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 1 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(1)-CONNECTED(1)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 12, active threads = 0, queued tasks = 0, completed tasks = 12], outboundChannel[pool size = 3, active threads = 0, queued tasks = 0, completed tasks = 3], sockJsScheduler[pool size = 9, active threads = 1, queued tasks = 1, completed tasks = 4]
2023-11-17 15:38:43.652 INFO  [SpringApplicationShutdownHook] [o.s.m.s.b.SimpleBrokerMessageHandler] - Stopping...
2023-11-17 15:38:43.652 INFO  [SpringApplicationShutdownHook] [o.s.m.s.b.SimpleBrokerMessageHandler] - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@73b9c9eb]]
2023-11-17 15:38:43.652 INFO  [SpringApplicationShutdownHook] [o.s.m.s.b.SimpleBrokerMessageHandler] - Stopped.
2023-11-17 15:38:43.670 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-17 15:38:43.672 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-17 15:38:46.076 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-17 15:38:46.079 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - Starting Team35Application using Java 17.0.7 on FULL8-015 with PID 10952 (D:\park\project\team\project05\build\classes\java\main started by db400tea in D:\park\project\team\project05)
2023-11-17 15:38:46.080 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-17 15:38:46.212 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-17 15:38:46.212 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-17 15:38:46.840 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8088 (http)
2023-11-17 15:38:46.844 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8088"]
2023-11-17 15:38:46.845 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-17 15:38:46.845 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-17 15:38:46.927 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-17 15:38:46.931 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-17 15:38:46.931 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 718 ms
2023-11-17 15:38:46.967 WARN  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Cannot deserialize session attribute [SPRING_SECURITY_CONTEXT] for session [690696AEA47A6DD7CCEAF55FB4DA5964]
